"","pert_iname","mean","n","median","sd","sRGES"
"9216","WYE-125132",0.420881787255231,65,0.430311246513372,0.382241025306041,0.420881787255231
"9217","oxotremorine",0.421097477845944,2,0.421097477845944,0.503940108882438,0.421097477845944
"9218","GR-135531",0.421133921918452,1,0.421133921918452,NA,0.421133921918452
"9219","BRD-K71894218",0.421267893660532,1,0.421267893660532,NA,0.421267893660532
"9220","cerulenin",0.421357530938324,56,0.435265869832817,0.363755444070329,0.421357530938324
"9221","BRD-K57962577",0.421422167924496,4,0.401247144454857,0.40325647026709,0.421422167924496
"9222","BRD-K81496150",0.421488125272799,2,0.421488125272799,0.426150150622513,0.421488125272799
"9223","BRD-K84567604",0.42152662639078,1,0.42152662639078,NA,0.42152662639078
"9224","nefazodone",0.421742568228205,8,0.546286115696786,0.284563103476461,0.421742568228205
"9225","BRD-K81609421",0.421752705893188,6,0.404585365867202,0.423075937192584,0.421752705893188
"9226","BRD-A12633378",0.421803437152633,3,0.607191547375596,0.461991563731006,0.421803437152633
"9227","pyrrolidine-dithiocarbamate",0.421864302173922,11,0.576212313193162,0.509667406681827,0.421864302173922
"9228","diphenyleneiodonium",0.421964563301679,17,0.472429082109317,0.348768127205337,0.421964563301679
"9229","purvalanol-b",0.421967778955136,2,0.421967778955136,0.0443190316960004,0.421967778955136
"9230","VU-0415113-1",0.422278171828644,5,0.524917153002296,0.196901753698084,0.422278171828644
"9231","BRD-K32083350",0.422378705463718,1,0.422378705463718,NA,0.422378705463718
"9232","BRD-K93036747",0.422378705463718,1,0.422378705463718,NA,0.422378705463718
"9233","MW-A1-2",0.422393818491605,2,0.422393818491605,0.0746166181048044,0.422393818491605
"9234","BRD-K58679021",0.422402929509732,4,0.569140056887777,0.332754019647803,0.422402929509732
"9235","MW-SHH-28",0.42240984332326,6,0.271948247972185,0.287649641623586,0.42240984332326
"9236","BRD-K64693729",0.422580259137847,3,0.258609107645041,0.671246594154554,0.422580259137847
"9237","benidipine",0.422606838259839,4,0.477590320381731,0.133586677305036,0.422606838259839
"9238","BRD-K99718824",0.422719312822139,5,0.499147920927062,0.334978775194863,0.422719312822139
"9239","BRD-K85685363",0.422719537092893,1,0.422719537092893,NA,0.422719537092893
"9240","BRD-K83548510",0.422738219808619,5,0.396398499410441,0.22483023575084,0.422738219808619
"9241","BRD-K67498554",0.422802879595167,5,0.383605998636673,0.228951228209461,0.422802879595167
"9242","BRD-K43604368",0.422812950671518,1,0.422812950671518,NA,0.422812950671518
"9243","BRD-K01605959",0.423533115047851,2,0.423533115047851,0.890456647476366,0.423533115047851
"9244","BRD-K38625260",0.423678945576494,13,0.419941011216339,0.314806365781759,0.423678945576494
"9245","BRD-K97973721",0.423788738769731,2,0.423788738769731,0.182374244293203,0.423788738769731
"9246","BRD-K70115829",0.423912447795007,2,0.423912447795007,0.0525389496587142,0.423912447795007
"9247","BRD-K74486276",0.424037099126147,10,0.543492476792344,0.274386282619736,0.424037099126147
"9248","BRD-K75813018",0.424547765298141,7,0.427661595715934,0.491097121732807,0.424547765298141
"9249","BRD-K44589075",0.424555609935375,2,0.424555609935375,0.275654534726917,0.424555609935375
"9250","salermide",0.424620886184446,50,0.548604951229972,0.353297838606511,0.424620886184446
"9251","BRD-K94352392",0.424883069839379,1,0.424883069839379,NA,0.424883069839379
"9252","BRD-K87367419",0.424934942682532,1,0.424934942682532,NA,0.424934942682532
"9253","BRD-K24776817",0.424934942682533,2,0.424934942682533,0.340298151000479,0.424934942682533
"9254","cytochalasin-d",0.42512979645941,15,0.550102249488753,0.426382881537547,0.42512979645941
"9255","BRD-K00196194",0.425275774311707,1,0.425275774311707,NA,0.425275774311707
"9256","oxamflatin",0.425518108425711,6,0.512799408130324,0.349302459998082,0.425518108425711
"9257","BRD-K86107831",0.425531398033589,2,0.425531398033589,0.390788563631216,0.425531398033589
"9258","BRD-K97274161",0.425733181487658,6,0.59800731542412,0.432513541574906,0.425733181487658
"9259","cilostamide",0.425849615120482,5,0.585073935551717,0.393385905015002,0.425849615120482
"9260","BRD-K91691979",0.425869120654397,1,0.425869120654397,NA,0.425869120654397
